DY
556
43
AvgCyclomatic;AvgCyclomaticModified;AvgCyclomaticStrict;AvgEssential;AvgLine;AvgLineBlank;AvgLineCode;AvgLineComment;CountClassBase;CountClassCoupled;CountClassDerived;CountDeclClassMethod;CountDeclClassVariable;CountDeclInstanceMethod;CountDeclInstanceVariable;CountDeclMethod;CountDeclMethodAll;CountDeclMethodDefault;CountDeclMethodPrivate;CountDeclMethodProtected;CountDeclMethodPublic;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;MaxCyclomatic;MaxCyclomaticModified;MaxCyclomaticStrict;MaxEssential;MaxInheritanceTree;MaxNesting;PercentLackOfCohesion;RatioCommentToCode;SumCyclomatic;SumCyclomaticModified;SumCyclomaticStrict;SumEssential
com.google.javascript.jscomp.AbstractMessageFormatter;1.0;1.0;1.0;1.0;5.0;0.0;4.0;0.0;2.0;3.0;2.0;1.0;1.0;6.0;2.0;7.0;7.0;2.0;1.0;2.0;2.0;76.0;12.0;56.0;21.0;22.0;8.0;18.0;31.0;15.0;16.0;3.0;2.0;3.0;1.0;1.0;1.0;71.0;0.14;11.0;10.0;11.0;7.0;0
com.google.javascript.jscomp.AliasExternalsTest;1.0;1.0;1.0;1.0;11.0;0.0;9.0;1.0;1.0;4.0;0.0;0.0;3.0;29.0;2.0;29.0;115.0;0.0;2.0;2.0;25.0;384.0;45.0;286.0;45.0;218.0;60.0;64.0;95.0;39.0;56.0;2.0;2.0;2.0;1.0;3.0;1.0;91.0;0.21;30.0;30.0;30.0;29.0;0
com.google.javascript.jscomp.AliasKeywordsTest;1.0;1.0;1.0;1.0;10.0;0.0;8.0;1.0;1.0;3.0;0.0;4.0;4.0;9.0;0.0;13.0;99.0;0.0;4.0;1.0;8.0;168.0;21.0;127.0;36.0;85.0;20.0;67.0;85.0;28.0;57.0;2.0;2.0;2.0;1.0;3.0;1.0;84.0;0.16;17.0;17.0;17.0;13.0;0
com.google.javascript.jscomp.AliasStringsTest;1.0;1.0;1.0;1.0;17.0;2.0;12.0;2.0;1.0;5.0;0.0;0.0;2.0;17.0;3.0;17.0;103.0;0.0;0.0;0.0;17.0;339.0;62.0;225.0;33.0;183.0;52.0;70.0;89.0;27.0;62.0;2.0;2.0;2.0;1.0;3.0;1.0;70.0;0.23;18.0;18.0;18.0;17.0;0
com.google.javascript.jscomp.AmbiguatePropertiesTest;1.0;1.0;1.0;1.0;12.0;0.0;12.0;2.0;1.0;7.0;0.0;0.0;1.0;47.0;1.0;47.0;133.0;0.0;0.0;2.0;45.0;651.0;54.0;589.0;145.0;477.0;109.0;129.0;180.0;103.0;77.0;2.0;2.0;2.0;1.0;3.0;1.0;96.0;0.19;49.0;49.0;49.0;47.0;0
com.google.javascript.jscomp.AstParallelizerTest;1.0;1.0;1.0;1.0;9.0;0.0;8.0;0.0;1.0;5.0;0.0;0.0;1.0;10.0;0.0;10.0;10.0;0.0;2.0;0.0;8.0;123.0;17.0;86.0;29.0;58.0;20.0;41.0;57.0;30.0;27.0;3.0;3.0;3.0;1.0;2.0;1.0;40.0;0.23;13.0;13.0;13.0;10.0;0
com.google.javascript.jscomp.AstValidator;3.0;2.0;3.0;1.0;10.0;0.0;10.0;0.0;2.0;7.0;0.0;0.0;0.0;118.0;2.0;118.0;118.0;0.0;109.0;0.0;9.0;1430.0;160.0;1232.0;152.0;879.0;42.0;598.0;850.0;177.0;673.0;69.0;8.0;69.0;1.0;1.0;3.0;97.0;0.03;362.0;240.0;367.0;118.0;0
com.google.javascript.jscomp.AstValidatorTest;1.0;1.0;1.0;1.0;5.0;0.0;5.0;0.0;1.0;8.0;0.0;0.0;0.0;16.0;1.0;16.0;102.0;0.0;5.0;3.0;8.0;124.0;18.0;103.0;31.0;59.0;3.0;52.0;72.0;26.0;46.0;4.0;2.0;4.0;1.0;3.0;1.0;81.0;0.03;19.0;17.0;19.0;16.0;0
com.google.javascript.jscomp.BasicErrorManager;1.0;1.0;1.0;1.0;4.0;0.0;4.0;0.0;2.0;4.0;7.0;0.0;0.0;11.0;4.0;11.0;11.0;0.0;1.0;1.0;9.0;165.0;17.0;116.0;43.0;61.0;32.0;45.0;80.0;34.0;46.0;4.0;4.0;4.0;1.0;1.0;2.0;79.0;0.28;17.0;17.0;17.0;11.0;0
com.google.javascript.jscomp.BasicErrorManagerTest;1.0;1.0;1.0;1.0;5.0;0.0;4.0;0.0;1.0;5.0;0.0;0.0;4.0;12.0;1.0;12.0;12.0;0.0;3.0;0.0;9.0;95.0;23.0;66.0;38.0;38.0;6.0;38.0;51.0;36.0;15.0;1.0;1.0;1.0;1.0;2.0;0.0;70.0;0.09;12.0;12.0;12.0;12.0;0
com.google.javascript.jscomp.CallGraph;2.0;2.0;2.0;1.0;18.0;2.0;10.0;6.0;2.0;15.0;0.0;1.0;1.0;21.0;7.0;22.0;22.0;0.0;11.0;0.0;11.0;712.0;102.0;356.0;104.0;198.0;254.0;135.0;230.0;98.0;132.0;8.0;8.0;9.0;3.0;1.0;5.0;88.0;0.71;48.0;48.0;58.0;24.0;0
com.google.javascript.jscomp.CallGraph.Callsite;1.0;1.0;1.0;1.0;8.0;0.0;5.0;3.0;1.0;3.0;0.0;0.0;0.0;7.0;5.0;7.0;7.0;0.0;2.0;0.0;5.0;83.0;11.0;42.0;13.0;21.0;30.0;16.0;27.0;13.0;14.0;3.0;3.0;3.0;3.0;1.0;2.0;80.0;0.71;10.0;10.0;10.0;9.0;0
com.google.javascript.jscomp.CallGraph.Function;1.0;1.0;1.0;1.0;9.0;0.0;5.0;3.0;1.0;4.0;0.0;0.0;0.0;11.0;5.0;11.0;11.0;0.0;3.0;0.0;8.0;127.0;16.0;70.0;17.0;36.0;41.0;24.0;43.0;17.0;26.0;3.0;3.0;3.0;3.0;1.0;2.0;81.0;0.59;18.0;18.0;18.0;13.0;0
com.google.javascript.jscomp.CallGraphTest;1.0;1.0;1.0;1.0;23.0;4.0;16.0;2.0;1.0;10.0;0.0;0.0;1.0;44.0;3.0;44.0;130.0;0.0;5.0;1.0;38.0;1077.0;261.0;725.0;303.0;542.0;95.0;351.0;415.0;242.0;173.0;3.0;3.0;3.0;1.0;3.0;2.0;94.0;0.13;52.0;52.0;52.0;44.0;0
com.google.javascript.jscomp.ChainCallsTest;1.0;1.0;1.0;1.0;10.0;0.0;10.0;1.0;1.0;3.0;0.0;0.0;0.0;9.0;0.0;9.0;95.0;0.0;0.0;2.0;7.0;114.0;9.0;101.0;16.0;77.0;19.0;13.0;23.0;12.0;11.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.19;9.0;9.0;9.0;9.0;0
com.google.javascript.jscomp.CheckAccessControlsTest;1.0;1.0;1.0;1.0;8.0;0.0;8.0;2.0;1.0;9.0;0.0;0.0;0.0;173.0;0.0;173.0;259.0;0.0;1.0;3.0;169.0;1717.0;184.0;1496.0;186.0;1139.0;436.0;192.0;366.0;177.0;189.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.29;173.0;173.0;173.0;173.0;0
com.google.javascript.jscomp.CheckAccidentalSemicolonTest;1.0;1.0;1.0;1.0;9.0;1.0;8.0;0.0;1.0;6.0;0.0;0.0;0.0;4.0;0.0;4.0;90.0;0.0;0.0;1.0;3.0;44.0;8.0;36.0;8.0;25.0;2.0;24.0;29.0;7.0;22.0;2.0;2.0;2.0;1.0;3.0;0.0;0.0;0.06;5.0;5.0;5.0;4.0;0
com.google.javascript.jscomp.CheckGlobalNamesTest;1.0;1.0;1.0;1.0;6.0;0.0;6.0;0.0;1.0;7.0;0.0;0.0;9.0;53.0;1.0;53.0;165.0;0.0;0.0;1.0;52.0;433.0;70.0;354.0;70.0;240.0;25.0;131.0;187.0;66.0;121.0;2.0;2.0;2.0;1.0;4.0;1.0;86.0;0.07;54.0;54.0;54.0;53.0;0
com.google.javascript.jscomp.CheckGlobalThisTest;1.0;1.0;1.0;1.0;3.0;0.0;3.0;0.0;1.0;5.0;0.0;0.0;0.0;58.0;0.0;58.0;144.0;0.0;1.0;1.0;56.0;281.0;57.0;221.0;60.0;102.0;19.0;63.0;122.0;59.0;63.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.09;58.0;58.0;58.0;58.0;0
